nct_id,completion_date,due_12m,sponsor_class,enrollment,classification,match_basis,pmid,doi,url_opened,pub_title,pub_year,journal,rationale,registry_url,conditions,conditions
NCT00001986,2001-01,yes,NIH,12,FOUND_RESULTS,SPECIFICS_MATCH,14718713,10.1212/01.wnl.0000101722.95137.19,https://pubmed.ncbi.nlm.nih.gov/14718713/,Pilot trial of 1-octanol in essential tremor,2004,Neurology,"No NCT-ID hit reports it (only a 2020 review cites the ID); Bushara/Hallett NIH paper matches registry exactly: randomized placebo-controlled single-dose 1 mg/kg 1-octanol, 12 ET patients, NINDS, 2000-2001",https://clinicaltrials.gov/study/NCT00001986,Essential Tremor,Essential Tremor
NCT00018564,2003-09,yes,FED,,UNCERTAIN,NONE,15390011,10.1002/mds.20147,https://pubmed.ncbi.nlm.nih.gov/15390011/,Pilot efficacy and tolerability: a randomized placebo-controlled trial of levetiracetam for essential tremor,2004,Mov Disord,Registry is an umbrella VA program record (drug unnamed) at VA Greater Los Angeles; Handforth & Martin 2004 levetiracetam RCT fits design and window but cannot be tied to this record specifically,https://clinicaltrials.gov/study/NCT00018564,Essential Tremor,Essential Tremor
NCT00236496,2004-02,yes,INDUSTRY,223,FOUND_RESULTS,SPECIFICS_MATCH,16436648,10.1212/01.wnl.0000200779.03748.0f,https://pubmed.ncbi.nlm.nih.gov/16436648/,Topiramate in essential tremor: a double-blind placebo-controlled trial,2006,Neurology,"No NCT-ID hits; Ondo 2006 (Ortho-McNeil supported, multicenter, 24 weeks, TRS primary, ITT 208 vs 223 enrolled) matches the registry design",https://clinicaltrials.gov/study/NCT00236496,Essential Tremor,Essential Tremor
NCT00016679,2004-03,yes,NIH,42,FOUND_RESULTS,SPECIFICS_MATCH,15210907,10.1212/wnl.62.12.2320,https://pubmed.ncbi.nlm.nih.gov/15210907/,Open-label dose-escalation study of oral 1-octanol in patients with essential tremor,2004,Neurology,No NCT-ID hits; NINDS phase Ia dose escalation; Shill/Hallett 2004 reports exactly that design; enrolment 42 vs 21 dosed is the only discrepancy,https://clinicaltrials.gov/study/NCT00016679,Essential Tremor,Essential Tremor
NCT00080366,2007-03,yes,NIH,14,UNCERTAIN,NONE,21594724,10.1007/s13311-011-0045-1,https://pubmed.ncbi.nlm.nih.gov/21594724/,An open-label single-dose crossover study of the pharmacokinetics and metabolism of two oral formulations of 1-octanol in patients with essential tremor,2011,Neurotherapeutics,"Nahab/Hallett 2011 has exactly 14 participants in window, but registry describes double-blind placebo crossover whereas paper is open-label PK; design mismatch prevents confirmation",https://clinicaltrials.gov/study/NCT00080366,Essential Tremor,Essential Tremor
NCT00524056,2008-03,yes,INDUSTRY,62,FOUND_RESULTS,NCT_ID_MATCH,20201005,10.1002/mds.22872,https://pubmed.ncbi.nlm.nih.gov/20201005/,Carisbamate in essential tremor: brief report of a proof of concept study,2010,Mov Disord,PubMed secondary-source-ID match; 62-patient randomized double-blind crossover carisbamate vs placebo,https://clinicaltrials.gov/study/NCT00524056,"Essential Tremor, Movement Disorders","Essential Tremor, Movement Disorders"
NCT00620165,2008-03,yes,OTHER,10,NOT_FOUND,NONE,,,https://pubmed.ncbi.nlm.nih.gov/18090460/,,,,No NCT-ID hits; all 15 levetiracetam-ET papers 2004-2014 opened; none from VA Long Beach or matching a 10-patient triple-blind RCT,https://clinicaltrials.gov/study/NCT00620165,Essential Tremor,Essential Tremor
NCT00439699,2009-12,yes,FED,16,FOUND_RESULTS,SPECIFICS_MATCH,20838216,10.1097/WNF.0b013e3181ebd109,https://pubmed.ncbi.nlm.nih.gov/20838216/,A pilot efficacy and tolerability trial of memantine for essential tremor,2010,Clin Neuropharmacol,"Handforth (VA GLA) open memantine trial: 16 enrolled 13 evaluable, non-randomized, matching registry",https://clinicaltrials.gov/study/NCT00439699,Essential Tremor,Essential Tremor
NCT01334814,2010-01,yes,OTHER,8,MENTIONED_ONLY,NONE,38004040,10.3390/medicina59111991,https://pubmed.ncbi.nlm.nih.gov/38004040/,Deep Brain Stimulation for the Management of Refractory Neurological Disorders: A Comprehensive Review,2023,Medicina (Kaunas),Only hit is a 2023 narrative review citing the NCT ID; no Mayo results paper for intermittent vs continuous VIM DBS in 8 ET patients,https://clinicaltrials.gov/study/NCT01334814,Essential Tremor,Essential Tremor
NCT00584376,2010-11,yes,OTHER,29,FOUND_RESULTS,SPECIFICS_MATCH,23238907,10.1002/mds.25264,https://pubmed.ncbi.nlm.nih.gov/23238907/,Multisite double-blind randomized controlled study of pregabalin for essential tremor,2012,Mov Disord,Zesiewicz (USF) research letter with coauthors from the registry sites matches the multisite double-blind randomized crossover design and PI; letter format without abstract,https://clinicaltrials.gov/study/NCT00584376,Essential Tremor,Essential Tremor
NCT01332695,2011-12,yes,INDUSTRY,25,NOT_FOUND,NONE,,,https://pubmed.ncbi.nlm.nih.gov/35750361/,,,,No NCT-ID hits; PubMed and Europe PMC searches for ST101/ZSET1446/Sonexa and tremor return no clinical paper,https://clinicaltrials.gov/study/NCT01332695,Essential Tremor,Essential Tremor
NCT01223144,2011-12,yes,OTHER,39,FOUND_RESULTS,SPECIFICS_MATCH,24178244,10.1007/s00702-013-1110-1,https://pubmed.ncbi.nlm.nih.gov/24178244/,Facial emotion recognition is inversely correlated with tremor severity in essential tremor,2013,J Neural Transm (Vienna),"Auzou/Meissner CHU Bordeaux paper uses the Ekman task and Iowa Gambling Task in 20 ET + 18 controls (38 vs 39 registered), matching intervention, site, PI and timing",https://clinicaltrials.gov/study/NCT01223144,Essential Tremor,Essential Tremor
NCT01468948,2012-07-18,yes,NIH,18,FOUND_RESULTS,NCT_ID_MATCH,26927672,10.1172/JCI83621,https://pubmed.ncbi.nlm.nih.gov/26927672/,Dose-escalation study of octanoic acid in patients with essential tremor,2016,J Clin Invest,NCT ID stated in abstract; open-label 3+3 dose escalation at NINDS matches registry,https://clinicaltrials.gov/study/NCT01468948,Essential Tremor,Essential Tremor
NCT01304758,2012-10,yes,INDUSTRY,15,FOUND_RESULTS,NCT_ID_MATCH,23944301,10.1056/NEJMoa1300962,https://pubmed.ncbi.nlm.nih.gov/23944301/,A pilot study of focused ultrasound thalamotomy for essential tremor,2013,N Engl J Med,NCT ID stated in abstract; 15-patient UVA ExAblate feasibility study matches registry,https://clinicaltrials.gov/study/NCT01304758,Essential Tremor,Essential Tremor
NCT01579435,2013-04,yes,OTHER_GOV,12,NOT_FOUND,NONE,,,https://pubmed.ncbi.nlm.nih.gov/24582371/,,,,All tDCS-in-ET papers 2013-2026 opened; none from Pitie-Salpetriere (Roze) with cerebellar vs motor-cortex tDCS in 12 ET patients,https://clinicaltrials.gov/study/NCT01579435,Essential Tremor,Essential Tremor
NCT01932463,2013-07,yes,INDUSTRY,6,FOUND_RESULTS,SPECIFICS_MATCH,23523144,10.1016/S1474-4422(13)70048-6,https://europepmc.org/article/MED/23523144,MR-guided focused ultrasound thalamotomy for essential tremor: a proof-of-concept study,2013,Lancet Neurol,Lipsman/Schwartz Sunnybrook 4-patient study fits the Sunnybrook ExAblate feasibility window; PMID 35995551 (JNNP 2022) explicitly lists NCT01932463 among its registrations in a pooled analysis,https://clinicaltrials.gov/study/NCT01932463,Tremor; Essential Tremor,Tremor; Essential Tremor
NCT01764815,2013-11,yes,INDUSTRY,13,FOUND_RESULTS,SPECIFICS_MATCH,24844728,10.1093/brain/awu102,https://pubmed.ncbi.nlm.nih.gov/24844728/,Directional deep brain stimulation: an intraoperative double-blind pilot study,2014,Brain,Pollo (Bern) intraoperative directional stimulation in 11 PD + 2 ET = 13 patients matches registry; PMID 33192384 cites NCT01764815 for a sub-analysis,https://clinicaltrials.gov/study/NCT01764815,Parkinson's Disease; Essential Tremor,Parkinson's Disease; Essential Tremor
NCT01698450,2013-12,yes,OTHER,10,UNCERTAIN,NONE,28275083,10.1212/WNL.0000000000003795,https://pubmed.ncbi.nlm.nih.gov/28275083/,Unilateral cerebellothalamic tract ablation in essential tremor by MRI-guided focused ultrasound,2017,Neurology,"Schreglmann 2017 (6 ET patients, Zurich/St Gallen investigators) is plausible but treatment dates and target could not be reconciled with the registered 10-patient multi-target study",https://clinicaltrials.gov/study/NCT01698450,Essential Tremor; Dystonia; Parkinson's Disease,Essential Tremor; Dystonia; Parkinson's Disease
NCT02037217,2014-01,yes,INDUSTRY,10,FOUND_RESULTS,SPECIFICS_MATCH,24876191,10.1136/jnnp-2014-307642,https://pubmed.ncbi.nlm.nih.gov/24876191/,Unilateral magnetic resonance guided focused ultrasound thalamotomy for essential tremor: practices and clinicoradiological outcomes,2015,J Neurol Neurosurg Psychiatry,"Chang/Chang Yonsei feasibility study (11 attempted, 8 treated) with InSightec coauthors matches the InSightec-sponsored feasibility study at Yonsei",https://clinicaltrials.gov/study/NCT02037217,Essential Tremor,Essential Tremor
