nct_id,title,conditions,status,phase,start_date,completion_date,months_since_completion,enrollment,sponsor_name,sponsor_class,results_posted,registry_url
NCT03688685,A Clinical Study to Evaluate CAD-1883 in Essential Tremor,Essential Tremor,COMPLETED,PHASE2,2019-01-23,2019-09-24,84,25,Cadent Therapeutics,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT03688685
NCT02346409,Cerebello-thalamo-cortical Coupling in Essential Tremor,Essential Tremor,COMPLETED,NA,2015-02-04,2018-02-16,103,20,"Institut National de la Santé Et de la Recherche Médicale, France",OTHER_GOV,no,https://clinicaltrials.gov/study/NCT02346409
NCT01441284,Efficacy of Pramipexole Extended Release in the Treatment of Essential Tremor,Essential Tremor,WITHDRAWN,PHASE3,2017-12,2018-12,93,,University of Pecs,OTHER,no,https://clinicaltrials.gov/study/NCT01441284
NCT02629614,Cala ONE Device for Essential Tremor,Essential Tremor,COMPLETED,NA,2016-04,2016-11,118,93,"Cala Health, Inc.",INDUSTRY,yes,https://clinicaltrials.gov/study/NCT02629614
NCT03875404,Next-Generation Pre-Operative Targeting for Thalamic DBS in the Treatment of Tremor,Essential Tremor,COMPLETED,NA,2019-03-20,2021-02-12,67,9,Mayo Clinic,OTHER,no,https://clinicaltrials.gov/study/NCT03875404
NCT00608231,Dexmedetomidine Effects on Microelectrode Recording in Deep Brain Stimulation,Parkinson's Disease; Essential Tremor; Dystonia,WITHDRAWN,PHASE2|PHASE3,2008-01,2012-01,176,,Vanderbilt University,OTHER,no,https://clinicaltrials.gov/study/NCT00608231
NCT00524056,A Proof of Concept Study of the Effectiveness of Carisbamate in the Treatment of Essential Tremor,"Essential Tremor, Movement Disorders",COMPLETED,PHASE2,2007-08,2008-03,222,62,"SK Life Science, Inc.",INDUSTRY,no,https://clinicaltrials.gov/study/NCT00524056
NCT06174948,The Use of the CUE1/CUE1+ in People With Parkinson's Disease and Related Disorders,Parkinson's Disease and Parkinsonism; Progressive Supranuclear Palsy; Different Types of Tremor Including Essential Tremor; Dystonia; Multiple System Atrophy; Corticobasal Degeneration; Vascular Parkinsonism; Orthostatic Tremor,RECRUITING,NA,2024-03-25,2025-03-31,18,70,Queen Mary University of London,OTHER,no,https://clinicaltrials.gov/study/NCT06174948
NCT06087276,"Essential 3 - Decentralized, Phase 3 Study Evaluating the Safety and Efficacy of Ulixacaltamide in Essential Tremor (ET)",Essential Tremor,ACTIVE_NOT_RECRUITING,PHASE3,2023-11-02,2028-07,-22,1000,Praxis Precision Medicines,INDUSTRY,no,https://clinicaltrials.gov/study/NCT06087276
NCT00616343,Zonisamide in the Treatment of Essential Tremor,Essential Tremor,TERMINATED,NA,2003-06,2012-12,165,9,Loma Linda University,OTHER,yes,https://clinicaltrials.gov/study/NCT00616343
NCT01304758,ExAblate Transcranial MR Guided Focused Ultrasound in the Treatment of Essential Tremor,Essential Tremor,COMPLETED,PHASE1,2011-01,2012-10,167,15,InSightec,INDUSTRY,no,https://clinicaltrials.gov/study/NCT01304758
NCT02443181,Demand-driven Management of Essential Tremor,Essential Tremor,COMPLETED,NA,2015-02,2022-02,55,5,University of Washington,OTHER,no,https://clinicaltrials.gov/study/NCT02443181
NCT06403280,The Effect of Alcohol on Common Tremor Syndromes,Essential Tremor; Dystonia; Parkinson Disease,COMPLETED,NA,2024-05-01,2026-03-31,6,45,Medical University of Graz,OTHER,no,https://clinicaltrials.gov/study/NCT06403280
NCT02252380,ExAblate Transcranial MRgFUS for the Management of Treatment-Refractory Movement Disorders,Movement Disorders; Essential Tremor; Holmes Tremor; Parkinson's Disease; Wilson's Disease; Huntington's Disease; Dystonia; Tardive Dyskinesia; Orofacial Dyskinesias,ACTIVE_NOT_RECRUITING,NA,2015-05,2026-12,-3,10,InSightec,INDUSTRY,no,https://clinicaltrials.gov/study/NCT02252380
NCT02668146,An Efficacy/Safety Study of Perampanel for Reducing Essential Tremor,Essential Tremor,UNKNOWN,PHASE2,2015-10,2017-06,111,16,VA Greater Los Angeles Healthcare System,FED,no,https://clinicaltrials.gov/study/NCT02668146
NCT07066358,Simultaneous Bilateral Radiofrequency Thalamotomy for Medication-Refractory Essential Tremor,Essential Tremor,RECRUITING,NA,2025-07-03,2026-12,-3,5,Tokyo Women's Medical University,OTHER,no,https://clinicaltrials.gov/study/NCT07066358
NCT06676501,A Study to Evaluate the Safety and Efficacy of Staged Bilateral Magnetic Resonance-Guided Focused Ultrasound Thalamotomy for the Treatment of Essential Tremor,"Essential Tremor; Essential Tremor, Movement Disorders",ENROLLING_BY_INVITATION,NA,2024-09-26,2026-11-01,-2,20,Chinese PLA General Hospital,OTHER,no,https://clinicaltrials.gov/study/NCT06676501
NCT04720469,A Second Magnetic Resonance Guided Focused Ultrasound Thalamotomy for Essential Tremor,Essential Tremor,COMPLETED,NA,2020-10-05,2024-03-18,30,11,Sunnybrook Health Sciences Centre,OTHER,no,https://clinicaltrials.gov/study/NCT04720469
NCT04509349,Alternating Current Stimulation for Essential Tremor,Essential Tremor,UNKNOWN,NA,2020-10-01,2022-08,49,30,University of Calgary,OTHER,no,https://clinicaltrials.gov/study/NCT04509349
NCT03780426,tSMS in Essential Tremor,Essential Tremor,COMPLETED,PHASE2,2018-10-01,2019-12-01,81,30,Fundación de investigación HM,OTHER,no,https://clinicaltrials.gov/study/NCT03780426
NCT00584376,Pregabalin (Lyrica) for the Treatment of Essential Tremor,Essential Tremor,COMPLETED,PHASE4,2007-12,2010-11,190,29,University of South Florida,OTHER,no,https://clinicaltrials.gov/study/NCT00584376
NCT05214313,Impact of a Standardized Music Therapy Protocol on the Quality of Life of Patients With Abnormal Movements Treated With Continuous Electrical Neuromodulation,Dystonia; Parkinson Disease; Essential Tremor,TERMINATED,NA,2022-03-03,2023-09-14,36,21,"University Hospital, Montpellier",OTHER,no,https://clinicaltrials.gov/study/NCT05214313
NCT06325852,Directional Bilateral Thalamic Patterned Stimulation (Chronos),Essential Tremor,RECRUITING,NA,2024-07-16,2027-01-01,-4,15,Alfonso Fasano,OTHER,no,https://clinicaltrials.gov/study/NCT06325852
